Generator,Generator Name,Supply
APF Athabasca (AFG1)*,AFG1,73
Bonnybrook (BON1)*,BON1,2
Cancarb Medicine Hat (CCMH),CCMH,0
DAI1 Daishowa (DAI1)*,DAI1,0
Gold Creek Facility (GOC1),GOC1,0
Grande Prairie EcoPower (GPEC),GPEC,5
NRGreen (NRG3),NRG3,12
Slave Lake (SLP1)*,SLP1,6
Swan Hills Geothermal (SRL1),SRL1,0
Weldwood #1 (WWD1)*,WWD1,27
Westlock (WST1)*,WST1,11
Weyerhaeuser (WEY1),WEY1,32
Whitecourt Power (EAGL),EAGL,22
